OTU_ID	X6	Z10	Q8	Z2	X8	R1	P3	Q9	Z3	B20.8	R9	Q5	X5	Q7	F20.7	R2	Q4	R8	Z4	A14.4	Q2	B6.6	Z8	EG7.2	G7.1	Z9	A15	Q6	B13.11	A17.12	X10	P2	E6.5	Q3	X9	X4	Z6	E5.9	X1	Z7	R4	A9	P4	X3	X2	R10	P1	X7	A11	Z5	Z1	E14.3	R3	E22	R5	R7	Q1	R6	A5.10
Zotu1129	0	36	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0
Zotu113	0	1	0	0	0	6	0	1	162	0	0	0	0	0	0	0	1	0	0	1	643	0	0	0	1	0	0	154	0	0	0	472	26	4	0	0	1	0	0	146	0	0	28	1	0	36	159	4	0	1	0	0	17	0	0	638	0	0	264
Zotu1130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1131	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	21	3	0	0	0	0	0	0	17	0	17	2	0	1	5	13	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Zotu1132	0	0	0	0	0	0	59	9	0	0	5	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu1133	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Zotu1134	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	1	0	0	0	0	0	0	0	0
Zotu1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1137	10	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	3	0	0	2	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1139	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
Zotu114	5	0	0	0	0	0	0	4	0	0	13	0	1	0	5	0	0	0	0	1	1	1	0	5	7	0	0	0	2	1	2	1	1	1	0	2	3	3	4	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	2	3	0	0
Zotu1140	4	14	0	0	0	0	0	0	0	7	31	8	0	0	89	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	6	0	3	0	0	34	1	0	0	0	0	0	0	0	0	1	0	1	0
Zotu1141	1	0	0	0	0	0	0	0	0	0	0	0	0	1	87	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
Zotu1144	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1145	0	13	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0
Zotu1146	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1147	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu1148	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1
Zotu1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu115	95	0	0	1	3	0	86	1	0	64	46	19	58	2	254	0	63	94	0	17	1	44	158	144	36	0	0	0	70	249	22	48	39	9	4	50	3	140	95	64	577	0	0	2	1	36	1	3	80	13	0	0	165	78	0	46	0	0	4
Zotu1150	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1151	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Zotu1152	1	0	0	0	0	0	36	0	0	0	0	0	0	0	0	6	11	0	1	0	4	2	0	0	4	0	10	1	0	1	0	29	9	0	12	0	0	3	0	0	0	77	26	0	0	9	5	0	3	0	34	13	0	0	0	69	2	3	8
Zotu1153	3	0	3	1	0	0	0	5	2	0	1	0	2	0	0	0	25	6	0	0	3	0	0	0	3	0	0	1	0	0	4	1	0	1	0	1	0	27	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	1	9
Zotu1154	15	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	2	1
Zotu1155	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	49	0	0	0	0	0	0	0	0	0
Zotu1156	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	3	0	0	0
Zotu1157	0	0	0	0	4	1	0	0	0	3	0	10	0	3	0	0	0	0	3	0	1	2	0	0	3	0	21	8	0	10	1	12	7	1	3	0	0	0	0	0	0	0	8	0	1	0	25	0	0	0	2	0	0	0	0	3	4	3	37
Zotu1158	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
